year,month,mean_temp,mean_rain
1968,6,13.9,73.4
1968,7,14.3,22.2
1968,8,14.9,88.5
1968,9,12.9,119
1968,10,11.7,91.5
1968,11,6.6,112.1
1968,12,4.2,117.2
1969,1,4.8,133.3
1969,2,1.2,48.1
1969,3,4.3,33.8
1969,4,7.7,75
1969,5,10.3,90.4
1969,6,13.2,58
1969,7,15.5,45.8
1969,8,14.8,32.6
1969,9,12.8,29.2
1969,10,12.4,34.6
1969,11,4.2,75.4
1969,12,4.2,91.5
1970,1,3.8,83
1970,2,3.2,105.1
1970,3,4.8,47
1970,4,6.7,87.3
1970,5,12.4,30.8
1970,6,15.4,67.7
1970,7,14.2,71.6
1970,8,15.1,72.9
1970,9,13.2,101.4
1970,10,10.2,106.6
1970,11,6.5,134.2
1970,12,4.2,45.6
1971,1,4.9,61.4
1971,2,5.4,50.8
1971,3,5.5,42.4
1971,4,7.8,41.7
1971,5,10.3,43.1
1971,6,12.2,82.4
1971,7,15.7,24.3
1971,8,14.4,79.2
1971,9,14.3,43.3
1971,10,11.4,46.8
1971,11,6.4,83.3
1971,12,6.5,48.4
1972,1,3.4,102.9
1972,2,4.8,64.6
1972,3,5.6,67.7
1972,4,8,93.8
1972,5,9.6,112
1972,6,11,66.4
1972,7,15.1,66.1
1972,8,13.5,36.8
1972,9,11.9,8.6
1972,10,10.4,53.2
1972,11,5.4,109.5
1972,12,5.9,88.4
1973,1,5.4,66.6
1973,2,4.8,43.7
1973,3,6.3,29
1973,4,7,48.8
1973,5,10.6,80.9
1973,6,14,23
1973,7,14.8,86.4
1973,8,15.1,98.5
1973,9,13,103.2
1973,10,9.3,51.3
1973,11,6.3,98.6
1973,12,4.6,67.9
1974,1,5.7,135.1
1974,2,4.9,61.9
1974,3,5.2,29.5
1974,4,8.2,39.7
1974,5,9.5,72
1974,6,12.1,39.8
1974,7,13.2,114
1974,8,13.3,80.5
1974,9,10.3,129.6
1974,10,7.5,53.9
1974,11,5,94.3
1974,12,7.5,85.9
1975,1,5.8,154.2
