Years,CO2,CH4,mullingar_mean_temp,mullingar_temp_anomaly,mullingar_mean_rain,mullingar_rain_anomaly,antarctic_temp_anomaly,global_temp_anomaly
-110.0,,,,,,,-0.18,-0.32
-110.47999999999999,301.3,,,,,,,
-111.0,,,,,,,-0.09,-0.33
-111.71000000000001,299.26,,,,,,,
-111.9,297.73,,,,,,,
-112.0,,,,,,,-0.14,-0.41
-112.28,298.11,,,,,,,
-113.0,,,,,,,-0.14,-0.4
-113.24000000000001,297.87,,,,,,,
-114.0,,,,,,,-0.15,-0.44
-114.47999999999999,301.5,,,,,,,
-115.0,,,,,,,-0.11,-0.4
-116.0,,888.0333333,,,,,-0.11,-0.34
-117.0,,,,,,,-0.06,-0.21
-117.22999999999999,299.63,,,,,,,
-117.46000000000001,297.33,,,,,,,
-117.65,299.02,,,,,,,
-118.0,,,,,,,-0.08,-0.24
-119.0,,,,,,,-0.13,-0.43
-119.09,295.99,,,,,,,
-120.0,,,,,,,-0.05,-0.32
-121.0,,,,,,,-0.03,-0.23
-121.3,295.61,,,,,,,
-122.0,,868.4,,,,,-0.02,-0.14
-122.82,294.22,,,,,,,
-123.0,,862.4,,,,,-0.01,-0.08
-124.0,,,,,,,-0.01,-0.16
-124.06,297.05,,,,,,,
-124.34,295.28,,,,,,,
-125.0,,,,,,,0.01,-0.23
-126.0,,,,,,,-0.01,-0.07
-127.0,,,,,,,0.01,-0.06
-128.0,,,,,,,-0.11,-0.19
-129.0,,852.3,,,,,-0.15,-0.23
-129.24,293.81,,,,,,,
-129.34,293.17,,,,,,,
-129.94,295.32,,,,,,,
-130.0,,836.8,,,,,-0.08,-0.32
-130.12,294.86,,,,,,,
-130.61,295.17,,,,,,,
-131.0,,,,,,,-0.08,-0.25
-132.0,,,,,,,-0.11,-0.19
-133.0,,,,,,,-0.07,-0.27
-133.13,290.92,,,,,,,
-133.99,292.34,,,,,,,
-134.0,,,,,,,0.01,-0.08
-135.0,,833.6,,,,,-0.04,-0.17
-135.61,294.34,,,,,,,
-136.0,,,,,,,-0.06,-0.31
-137.0,,,,,,,-0.01,-0.25
-137.4,288.12,,,,,,,
-138.0,,,,,,,0.03,-0.32
-138.82,289.23,,,,,,,
-139.0,,828.5,,,,,0.02,-0.3
-139.20999999999998,289.76,,,,,,,
-140.0,,,,,,,0.01,-0.22
-140.07999999999998,292.46,,,,,,,
-141.0,,,,,,,0.04,-0.12
-142.0,,,,,,,0.02,-0.12
-143.0,,,,,,,0.08,-0.16
-143.05,287.77,,,,,,,
-144.0,,822.3,,,,,0.04,-0.1
-145.0,,,,,,,0.08,0.07
-146.0,,,,,,,-0.01,0.06
-146.09,289.33,,,,,,,
-147.0,,,,,,,-0.01,-0.21
-148.0,,,,,,,-0.01,-0.19
-149.0,,,,,,,-0.06,-0.2
-149.26,291.56,,,,,,,
-150.0,,,,,,,-0.12,-0.18
-150.17000000000002,286.66,,,,,,,
-151.0,,,,,,,-0.07,-0.16
-152.0,,811.9,,,,,-0.1,-0.16
-152.95999999999998,286.33,,,,,,,
-153.0,,,,,,,-0.03,-0.16
-153.34,287.99,,,,,,,
-154.0,,,,,,,-0.02,-0.11
-154.59,289.54,,,,,,,
-155.0,,,,,,,-0.03,-0.13
-155.26999999999998,287.99,,,,,,,
-156.0,,,,,,,-0.07,-0.17
-156.26,285.05,,,,,,,
-157.0,,,,,,,-0.06,-0.1
-158.0,,,,,,,-0.07,-0.12
-158.87,286.65,,,,,,,
-159.0,,,,,,,-0.06,-0.18
-160.0,,789.9,,,,,-0.03,-0.14
-160.01999999999998,285.35,,,,,,,
-161.0,,,,,,,-0.05,-0.29
-161.17000000000002,287.17,,,,,,,
-162.0,,,,,,,-0.04,-0.24
-163.0,,,,,,,-0.06,-0.22
-164.0,,,,,,,-0.05,-0.07
-164.16,286.63,,,,,,,
-165.0,,,,,,,-0.02,-0.2
-166.0,,,,,,,-0.09,-0.26
-166.38,283.16,,,,,,,
-167.0,,775.9,,,,,-0.05,-0.24
-168.0,,,,,,,-0.02,-0.11
-168.28,285.57,,,,,,,
-169.0,,,,,,,-0.08,-0.1
-169.29000000000002,288.05,,,,,,,
-170.0,,,,,,,-0.08,-0.1
-171.0,,785.5,,,,,-0.05,-0.09
-171.89,285.47,,,,,,,
-172.0,,,,,,,-0.1,-0.08
-172.17000000000002,288.79,,,,,,,
-172.74,284.0,,,,,,,
-173.0,,,,,,,-0.08,-0.16
-175.68,286.84,,,,,,,
-176.0,,763.7,,,,,,
-177.1,283.62,,,,,,,
-178.35,283.18,,,,,,,
-178.54000000000002,283.53,,,,,,,
-179.70999999999998,281.58,,,,,,,
-181.0,,766.9,,,,,,
-182.17000000000002,283.65,,,,,,,
-186.3,284.15,,,,,,,
-187.51,,,,,,,-0.3599999999999852,
-189.0,,756.3,,,,,,
-189.82,283.82,,,,,,,
-190.13,285.09,,,,,,,
-196.0,,755.8,,,,,,
-196.07999999999998,285.91,,,,,,,
-197.6733333,,,,,,,-0.8599999999999852,
-198.26,281.36,,,,,,,
-198.70000000000005,,784.47,,,,,,
-202.5999999999999,,761.7,,,,,,
-207.8366667,,,,,,,0.6400000000000148,
-209.34,284.43,,,,,,,
-218.0,,,,,,,-0.1599999999999966,
-223.66,282.8,,,,,,,
-224.20000000000005,,710.4896326,,,,,,
-225.0,,728.5,,,,,,
-226.53,280.4,,,,,,,
-227.0,,716.9,,,,,,
-227.06,282.3,,,,,,,
-228.4433333,,,,,,,1.240000000000009,
-228.9,281.62,,,,,,,
-238.8866667,,,,,,,0.539999999999992,
-242.7,273.07,,,,,,,
-243.51,280.24,,,,,,,
-244.0,,714.4,,,,,,
-249.33,,,,,,,-0.46000000000000796,
-249.54,277.86,,,,,,,
-257.29999999999995,,726.8,,,,,,
-259.3,276.4,,,,,,,
-259.7333333,,,,,,,-0.960000000000008,
-260.12,277.16,,,,,,,
-261.0,,703.1,,,,,,
-270.1366667,,,,,,,0.7400000000000091,
-270.87,278.0,,,,,,,
-271.07,276.46,,,,,,,
-272.0,,696.9,,,,,,
-273.88,277.6,,,,,,,
-274.0,,692.9,,,,,,
-275.0999999999999,,695.6475972,,,,,,
-280.29999999999995,,682.7,,,,,,
-280.53999999999996,,,,,,,-2.1599999999999966,
-281.74,276.81,,,,,,,
-289.13,278.31,,,,,,,
-291.35333330000003,,,,,,,0.6400000000000148,
-299.99,277.01,,,,,,,
-300.14,278.27,,,,,,,
-301.0,,671.9,,,,,,
-302.1666667,,,,,,,1.039999999999992,
-312.98,,,,,,,0.9399999999999977,
-324.3866667,,,,,,,0.2400000000000091,
-328.93,277.36,,,,,,,
-329.0,,676.1,,,,,,
-331.0999999999999,,679.3078377,,,,,,
-333.26,276.32,,,,,,,
-335.7933333,,,,,,,0.14000000000001478,
-341.11,276.66,,,,,,,
-342.0,,692.0,,,,,,
-347.2,,,,,,,-1.1599999999999966,
-359.1633333,,,,,,,-0.060000000000002274,
-370.20000000000005,,675.885861,,,,,,
-371.1266667,,,,,,,0.4399999999999977,
-373.9,278.02,,,,,,,
-374.0,,674.6,,,,,,
-383.09,,,,,,,-0.960000000000008,
-383.19,276.69,,,,,,,
-394.4,273.78,,,,,,,
-395.2733333,,,,,,,-0.1599999999999966,
-401.0,,679.4,,,,,,
-407.4566667,,,,,,,-0.3599999999999852,
-413.54,271.11,,,,,,,
-417.0,,667.7,,,,,,
-417.5,,651.4369118,,,,,,
-419.58,275.07,,,,,,,
-419.64,,,,,,,0.2400000000000091,
-432.0,,665.4,,,,,,
-432.01,279.36,,,,,,,
-432.39,,,,,,,-0.46000000000000796,
-434.82,281.11,,,,,,,
-445.14,,,,,,,-0.6599999999999966,
-449.99,282.57,,,,,,,
-451.0,,684.8,,,,,,
-454.79999999999995,,684.3,,,,,,
-457.89,,,,,,,-1.259999999999991,
-463.14,281.83,,,,,,,
-470.84,,,,,,,-0.2599999999999909,
-473.35,283.53,,,,,,,
-474.0,,704.3,,,,,,
-476.0,,680.8545,,,,,,
-483.79,,,,,,,0.14000000000001478,
-493.32,283.95,,,,,,,
-494.0,,698.9,,,,,,
-496.74,,,,,,,0.4399999999999977,
-509.3933333,,,,,,,-1.460000000000008,
-521.47,283.12,,,,,,,
-522.0,,693.0,,,,,,
-522.0466667000001,,,,,,,0.4399999999999977,
-531.9000000000001,,670.1453219,,,,,,
-534.7,,,,,,,0.3400000000000034,
-547.5333333,,,,,,,-0.3599999999999852,
-551.0999999999999,,644.3,,,,,,
-553.6,280.31,,,,,,,
-556.0,,671.4,,,,,,
-560.3666667,,,,,,,-0.5600000000000023,
-573.2,,,,,,,0.6400000000000148,
-573.8399999999999,282.23,,,,,,,
-575.0,,681.5,,,,,,
-586.42,,,,,,,-2.1599999999999966,
-594.2,279.73,,,,,,,
-599.64,,,,,,,-0.6599999999999966,
-606.4000000000001,,669.6681366,,,,,,
-611.5999999999999,,667.8,,,,,,
-612.14,279.7,,,,,,,
-612.86,,,,,,,-0.1599999999999966,
-626.08,,,,,,,1.539999999999992,
-626.5,,680.389,,,,,,
-632.67,280.91,,,,,,,
-634.0,,677.6,,,,,,
-639.3,,,,,,,0.9399999999999977,
-652.52,,,,,,,-0.5600000000000023,
-665.3966667,,,,,,,1.6400000000000148,
-674.15,278.36,,,,,,,
-678.2733333,,,,,,,-0.6599999999999966,
-691.15,,,,,,,-0.5600000000000023,
-692.88,284.07,,,,,,,
-694.0,,672.9,,,,,,
-703.7,,,,,,,1.740000000000009,
-715.55,281.58,,,,,,,
-716.25,,,,,,,1.240000000000009,
-728.8,,,,,,,0.539999999999992,
-740.8,,666.7,,,,,,
-742.4466667,,,,,,,-0.7599999999999909,
-744.8,278.43,,,,,,,
-750.8,,668.9100188,,,,,,
-756.0933333,,,,,,,-0.3599999999999852,
-763.49,282.2,,,,,,,
-769.74,,,,,,,-0.3599999999999852,
-771.73,282.41,,,,,,,
-775.0,,660.9,,,,,,
-784.2466667,,,,,,,-0.2599999999999909,
-798.7533333,,,,,,,-0.7599999999999909,
-808.9000000000001,,679.5,,,,,,
-812.05,283.69,,,,,,,
-813.26,,,,,,,-1.1599999999999966,
-815.3,,643.3,,,,,,
-823.19,284.54,,,,,,,
-825.0,,683.7,,,,,,
-827.86,,,,,,,-0.6599999999999966,
-842.46,,,,,,,0.14000000000001478,
-857.02,283.97,,,,,,,
-857.06,,,,,,,0.03999999999999204,
-870.64,,,,,,,0.539999999999992,
-875.0,,685.9,,,,,,
-876.71,284.51,,,,,,,
-884.22,,,,,,,0.2400000000000091,
-897.8,,,,,,,0.8400000000000034,
-907.39,282.84,,,,,,,
-910.55,,,,,,,1.1400000000000148,
-923.3,,,,,,,1.4399999999999977,
-923.59,283.09,,,,,,,
-925.0,,676.4,,,,,,
-934.3,,663.9678815,,,,,,
-936.05,,,,,,,1.740000000000009,
-942.3,,647.0,,,,,,
-949.68,,,,,,,-0.7599999999999909,
-952.8,282.84,,,,,,,
-963.31,,,,,,,0.8400000000000034,
-969.9000000000001,,647.9198051,,,,,,
-973.82,280.97,,,,,,,
-975.0,,677.8,,,,,,
-976.94,,,,,,,-1.1599999999999966,
-982.92,280.92,,,,,,,
-991.55,,,,,,,1.1400000000000148,
-1003.73,280.06,,,,,,,
-1005.42,279.8,,,,,,,
-1006.16,,,,,,,-0.7599999999999909,
-1012.4,,640.2,,,,,,
-1015.0,,666.0,,,,,,
-1019.1,,636.2143933,,,,,,
-1020.77,,,,,,,-0.46000000000000796,
-1035.7,,,,,,,-0.2599999999999909,
-1040.35,278.74,,,,,,,
-1050.63,,,,,,,-0.46000000000000796,
-1065.35,277.41,,,,,,,
-1065.56,,,,,,,0.6400000000000148,
-1080.383333,,,,,,,-0.1599999999999966,
-1095.206667,,,,,,,-0.1599999999999966,
-1108.87,280.11,,,,,,,
-1110.03,,,,,,,-0.6599999999999966,
-1110.2,,634.7,,,,,,
-1124.463333,,,,,,,0.4399999999999977,
-1138.896667,,,,,,,1.240000000000009,
-1147.59,279.42,,,,,,,
-1153.33,,,,,,,0.6400000000000148,
-1164.9,,633.223011,,,,,,
-1168.11,,,,,,,-0.46000000000000796,
-1182.89,,,,,,,-0.5600000000000023,
-1197.67,,,,,,,0.9399999999999977,
-1200.67,278.62,,,,,,,
-1204.6,,643.7,,,,,,
-1212.59,,,,,,,-0.2599999999999909,
-1227.51,,,,,,,1.8400000000000034,
-1229.9,279.72,,,,,,,
-1242.43,,,,,,,-0.6599999999999966,
-1256.663333,,,,,,,-0.060000000000002274,
-1260.7,279.29,,,,,,,
-1270.896667,,,,,,,1.1400000000000148,
-1285.13,,,,,,,1.240000000000009,
-1290.1,,642.6591809,,,,,,
-1292.57,279.99,,,,,,,
-1298.2,,628.7,,,,,,
-1299.456667,,,,,,,1.1400000000000148,
-1313.783333,,,,,,,-0.2599999999999909,
-1321.4,,634.8718624,,,,,,
-1321.75,277.1,,,,,,,
-1328.11,,,,,,,0.8400000000000034,
-1343.176667,,,,,,,0.6400000000000148,
-1353.82,278.45,,,,,,,
-1358.243333,,,,,,,0.539999999999992,
-1373.31,,,,,,,0.14000000000001478,
-1386.0,279.59,,,,,,,
-1388.393333,,,,,,,-0.060000000000002274,
-1403.476667,,,,,,,1.4399999999999977,
-1408.48,277.87,,,,,,,
-1410.8,,634.9288889,,,,,,
-1418.56,,,,,,,0.4399999999999977,
-1422.4,,650.2330673,,,,,,
-1433.473333,,,,,,,1.1400000000000148,
-1440.59,276.2,,,,,,,
-1448.386667,,,,,,,0.14000000000001478,
-1463.3,,,,,,,1.8400000000000034,
-1465.53,278.46,,,,,,,
-1471.38,276.56,,,,,,,
-1477.833333,,,,,,,1.1400000000000148,
-1492.366667,,,,,,,0.14000000000001478,
-1503.8,,631.3,,,,,,
-1505.04,276.79,,,,,,,
-1506.9,,,,,,,0.2400000000000091,
-1515.6,,638.2916239,,,,,,
-1523.18,,,,,,,-0.2599999999999909,
-1534.87,277.11,,,,,,,
-1539.46,,,,,,,-0.46000000000000796,
-1555.74,,,,,,,-0.1599999999999966,
-1571.793333,,,,,,,1.3400000000000034,
-1586.06,280.0,,,,,,,
-1587.846667,,,,,,,-0.6599999999999966,
-1599.9,,631.7,,,,,,
-1603.9,,,,,,,-0.060000000000002274,
-1616.64,279.13,,,,,,,
-1619.89,,,,,,,-0.2599999999999909,
-1624.0,,630.437945,,,,,,
-1635.88,,,,,,,0.03999999999999204,
-1638.77,277.25,,,,,,,
-1651.87,,,,,,,1.1400000000000148,
-1665.67,277.8,,,,,,,
-1668.08,,,,,,,-0.6599999999999966,
-1684.29,,,,,,,0.3400000000000034,
-1692.6,,610.2707956,,,,,,
-1700.5,,,,,,,0.539999999999992,
-1701.6,,623.3,,,,,,
-1705.45,281.69,,,,,,,
-1717.266667,,,,,,,-0.8599999999999852,
-1727.4,280.91,,,,,,,
-1734.033333,,,,,,,-0.5600000000000023,
-1748.56,280.24,,,,,,,
-1750.3,,623.4050771,,,,,,
-1750.8,,,,,,,1.039999999999992,
